Year,Month,Year-Month,Deposits
2024,January,2024-01,7088192
2024,February,2024-02,7089664
2024,March,2024-03,7848851
2024,April,2024-04,8050116
2024,May,2024-05,7988970
2024,June,2024-06,7941674
2024,July,2024-07,8853332
2024,August,2024-08,8930630
2024,September,2024-09,9485930
2024,October,2024-10,10867652
2024,November,2024-11,10007498
2024,December,2024-12,10855684
2025,January,2025-01,10063782
2025,February,2025-02,11137502
2025,March,2025-03,13130035
2025,April,2025-04,13772634
2025,May,2025-05,18479008
2025,June,2025-06,15032433
2025,July,2025-07,16416146
2025,August,2025-08,19181686
2025,September,2025-09,19160433
2025,October,2025-10,20001497
2025,November,2025-11,17883000
2025,December,2025-12,21908144
2026,January,2026-01,20518699
2026,February,2026-02,24518699
2026,March,2026-03,26149269
2026,April,2026-04,25388222
