Year,Month,Year-Month,Registration
2024,January,2024-01,5977
2024,February,2024-02,5695
2024,March,2024-03,5991
2024,April,2024-04,7531
2024,May,2024-05,7105
2024,June,2024-06,10991
2024,July,2024-07,7781
2024,August,2024-08,12295
2024,September,2024-09,10965
2024,October,2024-10,12650
2024,November,2024-11,8851
2024,December,2024-12,4849
2025,January,2025-01,5257
2025,February,2025-02,5493
2025,March,2025-03,5961
2025,April,2025-04,8074
2025,May,2025-05,6835
2025,June,2025-06,5515
2025,July,2025-07,6770
2025,August,2025-08,8271
2025,September,2025-09,8182
2025,October,2025-10,7843
2025,November,2025-11,7115
2025,December,2025-12,8569
2026,January,2026-01,8742
2026,February,2026-02,16615
2026,March,2026-03,39304
2026,April,2026-04,40251
